team,title,rank,created_date
HARRY POTTER,1,Jake,2023-01-04 23:10:20
FAIRY TALE,3,Pete,2023-01-04 23:10:20
LESSONS IN CHEMISTRY,1,Jake,2023-01-04 23:10:20
A GOOD GIRL'S GUIDE TO MURDER,3,Pete,2023-01-04 23:10:20
ODDER,3,Pete,2023-01-04 23:10:21
FIVE SURVIVE,1,Jake,2023-01-04 23:10:21
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,1,Jake,2023-01-04 23:10:21
IT STARTS WITH US,1,Jake,2023-01-04 23:10:22
VERITY,3,Pete,2023-01-04 23:10:22
BLOODMARKED,3,Pete,2023-01-04 23:10:22
THE LIGHT WE CARRY,1,Jake,2023-01-04 23:10:23
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",3,Pete,2023-01-04 23:10:23
"THE BOY, THE MOLE, THE FOX AND THE HORSE",3,Pete,2023-01-04 23:10:24
ATOMIC HABITS,1,Jake,2023-01-04 23:10:24
THE JANUARY 6TH REPORT,3,Pete,2023-01-04 23:10:24
THE JANUARY 6 REPORT,1,Jake,2023-01-04 23:10:24
THE WONDERFUL THINGS YOU WILL BE,3,Pete,2023-01-04 23:10:25
THE DAY THE CRAYONS QUIT,1,Jake,2023-01-04 23:10:25
I'M GLAD MY MOM DIED,3,Pete,2023-01-04 23:10:26
IT ENDS WITH US,3,Pete,2023-01-04 23:10:26
INVISIBLE,3,Pete,2023-01-04 23:54:03
THE JUDGE'S LIST,1,Jake,2023-01-04 23:54:03
DARE TO LEAD,3,Pete,2023-01-04 23:54:08
WISH,1,Jake,2023-01-04 23:54:10
THE ONE AND ONLY IVAN,3,Pete,2023-01-04 23:54:10
"CHAINSAW MAN, VOL. 1",3,Pete,2023-01-04 23:54:12
COLLABORATIONS,1,Jake,2023-01-04 23:54:12
THEY BOTH DIE AT THE END,3,Pete,2023-01-04 23:54:17
GIRL IN PIECES,1,Jake,2023-01-04 23:54:17
DIARY OF A WIMPY KID,1,Jake,2023-01-11 23:14:20
WITHOUT A TRACE,3,Pete,2023-01-11 23:14:20
THE STOLEN HEIR,1,Jake,2023-01-11 23:14:21
WONDER,1,Jake,2023-01-11 23:14:21
TWO DEGREES,3,Pete,2023-01-11 23:14:21
"SONG OF SILVER, FLAME LIKE NIGHT",3,Pete,2023-01-11 23:14:22
THE SUBTLE ART OF NOT GIVING A F*CK,3,Pete,2023-01-11 23:14:24
LITTLE BLUE TRUCK'S VALENTINE,1,Jake,2023-01-11 23:14:25
DRAGONS LOVE TACOS,3,Pete,2023-01-11 23:14:25
HELL BENT,1,Jake,2023-01-18 23:02:19
THE GOOD LIFE,3,Pete,2023-01-18 23:02:23
SPARE,1,Jake,2023-01-18 23:02:23
ALL ABOUT LOVE,3,Pete,2023-01-18 23:02:24
THE BODY KEEPS THE SCORE,1,Jake,2023-01-18 23:02:24
THE HOUSE OF WOLVES,3,Pete,2023-01-18 23:02:25
LITTLE LEADERS,3,Pete,2023-01-25 23:06:23
